state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
CA,2020-04-08,1546,9950.24689815572,6246.36757283498,14854.6980096244,63,46.3925663320779,36.2235050994405,58.510236374903,0.971343920089674,0.651883296529371,1.34407099939974,87374.5799385073,60821.2814887743,122734.576646369
CA,2020-04-09,813,9628.47048468738,5823.06231189561,14706.415697157,49,49.1392624646592,38.4549114590726,61.9872793083669,0.936035421352948,0.62651265506425,1.30085352743943,87413.2352711226,61178.1844208154,122175.847213647
CA,2020-04-10,1371,10066.7207583019,5937.66784229504,15809.5309720474,39,51.858571942615,40.7378783901046,65.2312189331884,0.978223556973578,0.659410474604446,1.35270197226531,87080.9602349814,61147.1144934985,121667.312975662
CA,2020-04-11,625,12034.55118269,6883.07570815201,19353.5098134221,21,54.536771626739,42.7129777158142,68.58653299462,1.17164613060228,0.79687559863673,1.6059807553479,86550.4232029698,60409.2763864331,121198.86868297
CA,2020-04-12,1089,8359.73858924188,5502.21573053854,12121.2999914407,36,57.1420828432071,44.927423080996,71.8478942516005,0.828791429334583,0.548669558417656,1.16050034515289,86376.2787200272,59638.3677056786,121630.534901052
CA,2020-04-13,1136,9223.40356319883,6083.42036459382,13463.238231674,74,59.662847513628,46.920693321846,75.0245204529885,0.912159448916655,0.612204977603964,1.25599320477704,86547.9139383322,58943.8062191988,123900.141784596
CA,2020-04-14,1425,9528.10982734426,6172.63162314281,14182.2149574909,53,62.0736759442251,48.9483719449411,77.8895135563492,0.94603300772397,0.639112167004889,1.30110181274643,86049.2752187457,58507.1139335697,123284.702242964
CA,2020-04-15,1330,9576.41335668163,5988.84328151888,14576.2109504132,93,64.3606313262241,50.9056332003786,80.5437580638059,0.957418774005057,0.647117617065037,1.31632177542043,85201.4357587784,58262.0500755902,121839.126018541
CA,2020-04-16,991,8936.37412256302,5453.08468631445,13903.4227886771,96,66.5028285636031,52.5742834764719,83.3393688070661,0.899327571794428,0.603800588742889,1.24524823476884,84325.8370597566,57970.2361216342,119934.635930419
CA,2020-04-17,1480,8788.30827171306,5131.22337956364,13966.9078765276,81,68.492462381426,54.2457144339236,85.5667642338515,0.889877710954588,0.596266965353128,1.23084313053305,83453.9207827584,57631.260967813,117620.49022374
CA,2020-04-18,1334,9776.09485935292,5527.31022235823,15795.2628734365,103,70.3277952915385,55.6155811262188,87.8567372031092,0.997838190969987,0.672450516319704,1.36695855447295,82433.749358006,57063.0976470924,116333.738476119
CA,2020-04-19,940,9010.14458018445,5909.01810420994,12968.8540512918,37,71.9897889386397,56.9557511764901,89.8240617987454,0.947966331362503,0.641434824335006,1.31919907063649,81446.7173066129,55447.1993173175,116039.934492658
CA,2020-04-20,2255,8192.16603507422,5220.35771628106,12058.0745946548,48,73.4851266617267,58.1115292456982,91.5473674341592,0.86915162302932,0.586820814821169,1.21512446763904,80728.5179548374,54412.8309275298,116887.558656132
CA,2020-04-21,1779,8228.17164931182,5108.91054791078,12340.4055058246,57,74.7897818018969,59.0620243541782,93.347681771974,0.879708153985031,0.594408162951972,1.2287320077,79936.5354051157,53496.6533959778,115836.300091568
CA,2020-04-22,1879,8156.33964689619,4891.80274384866,12532.1889087998,139,75.9245950557203,60.0869690587711,94.7726512193169,0.881247019747753,0.595650118153783,1.23082630086046,78840.7455800433,53022.1939211273,114074.336124757
CA,2020-04-23,2217,8117.75610306457,4722.90228680366,12808.6270180451,112,76.8779914349881,60.6992480186202,96.0566210380198,0.888138664994926,0.60052674771537,1.24067348966287,77549.2900669642,52496.5695365738,111491.788201138
CA,2020-04-24,1794,8024.54916498809,4510.17520201912,13056.4959855623,88,77.6606220451055,61.3332981861985,96.7603150783049,0.889713413579361,0.599698346178842,1.24390912600577,76188.8784729644,51449.4591942861,108976.541708827
CA,2020-04-25,1013,9179.75849405431,5030.09858851766,15287.4894461788,68,78.2879255490967,61.8138312233772,97.3475620482921,1.03159015994267,0.701403293646761,1.43503922261365,74851.9304201219,50253.6894552576,107042.590237247
CA,2020-04-26,1190,8238.82830280092,5962.43037281239,11249.6175229558,36,78.7437882163044,62.2002031636124,97.935605198371,0.959341505641736,0.701060468808593,1.24525884208245,73771.3468770219,48606.838095937,106954.72033599
CA,2020-04-27,1408,7487.58186494293,5359.32038660287,10346.0615841701,54,79.0735677067101,62.3076088686422,98.5858191890628,0.879588373381286,0.63992470862818,1.14693901036274,73144.4162547822,47559.0490215932,106903.945076068
CA,2020-04-28,1198,7695.27671363508,5437.69261123683,10683.78619655,85,79.2266412582094,62.6355412855173,99.2331541580745,0.910982771866691,0.662059385427681,1.19043242259117,72517.63837356,47227.354264097,106042.583288267
CA,2020-04-29,2583,7338.57921643917,5126.05009349474,10327.2632202338,82,79.2712812936316,62.4869465462616,99.5440347961026,0.877652161498487,0.640770074743443,1.14643726513902,71650.7709941878,47132.0811830199,103494.869506827
CA,2020-04-30,1383,7544.55948610603,5248.82736936051,10683.3577249102,85,79.1861986859868,62.281414137106,99.5173462071129,0.913315930597795,0.668228605303507,1.18859333897545,70621.4277883437,47391.9835182586,101393.617318526
CA,2020-05-01,1896,7685.44605415219,5241.419649641,11009.6831109276,95,78.9848464995731,61.9187781750014,99.429300728237,0.943202192339206,0.69195522275432,1.22593129427905,69483.7251908712,47355.1549648393,98552.8890828055
CA,2020-05-02,1321,8668.03444438908,5818.72132217788,12450.4339851279,54,78.7016912212259,61.8236152090756,99.3891342374643,1.07763999114843,0.791357225041511,1.3882210499603,68420.7009319027,47180.8935793694,96625.1398851513
CA,2020-05-03,1556,8494.55248472807,5561.88050141086,12497.5426130409,36,78.3203390839059,61.4012510025666,98.9647702424974,1.06447774627299,0.780489621191325,1.37293126528817,67692.1895215931,47341.9573021686,94989.7670306972
CA,2020-05-04,981,7800.60951483831,4934.43945881865,11700.2541617324,62,77.8659777434101,61.12911354537,98.7053704066222,0.976880042985049,0.717036694715564,1.26365215209776,67527.6189807527,47529.2419422006,94327.8456819577
CA,2020-05-05,2572,7963.17231739588,4863.55644908898,12192.4006318094,103,77.3348594548193,60.8159124841251,98.0718925541278,0.992771362204129,0.727058322320547,1.28347201580351,67643.5385746604,47950.6139656611,94336.3969000092
CA,2020-05-06,2160,7605.12255891949,4483.83118351571,11899.4605078654,83,76.7573841780107,60.1942762165943,97.6202592732545,0.944346770137521,0.694810221935894,1.22305183805837,67714.8328057092,47638.4355891053,94971.662555912
CA,2020-05-07,1532,7709.45109491508,4377.26246767699,12322.1900827609,71,76.1473558212871,59.5432883762205,96.9711524945004,0.955220444123582,0.703224819689399,1.23787896043541,67676.1001397785,47153.6727592205,95883.3120164051
CA,2020-05-08,1631,8019.17053279259,4439.75809988483,13159.1217947694,78,75.4867117107013,59.0287959793514,96.0389267038727,0.9941190206947,0.728975595162939,1.28414377453068,67468.2795843221,46241.9508993876,96157.0126848373
CA,2020-05-09,2779,10032.3509143386,5468.48603595658,16791.9554738586,74,74.8354723090304,58.3686179030072,95.1216002949815,1.24624944442591,0.909168655230687,1.6133991619752,67220.8762199982,45264.5787584406,97180.1331509502
CA,2020-05-10,1042,9950.10781389624,5200.02761253076,16972.8033804837,29,74.1589681285107,57.9401828911022,94.0878349786549,1.22972357356551,0.896790691920294,1.5871435727393,67384.4245659474,44451.6207920068,99320.7200298225
CA,2020-05-11,1729,7847.21188607055,3834.80241838606,13992.6320843945,63,73.5146608997399,57.6414089155532,92.9992133903903,0.950612478601764,0.69769659498127,1.22797616803573,68458.8661366032,43723.3169686367,102903.508258904
CA,2020-05-12,1649,8110.72148909907,3794.37190053738,14856.6611152739,100,72.8642306420183,57.2951292659484,92.0020429435845,0.960353053442247,0.705845072656436,1.2402036119733,69847.0912221892,43063.9733780213,107186.883823986
CA,2020-05-13,1820,8295.66220390214,3726.99550953259,15579.2711701407,78,72.2585058787206,57.0307440315405,91.3819918064684,0.96778261199865,0.711665162644706,1.25119487455201,70704.2743652285,42018.9069019609,111305.159647984
CA,2020-05-14,2073,8325.47953974019,3592.18553408567,16006.1281578024,95,71.6841381322107,56.8989267587947,90.7139626067052,0.963481902343865,0.709502014091932,1.24449643785347,71088.596737281,40960.6543552506,114673.607549839
CA,2020-05-15,1822,8527.52655096246,3521.58270738558,16891.9768146666,84,71.1725649447131,56.3998069892363,89.8115586868093,0.982777315703714,0.72127244452749,1.26964616295397,71204.5182398152,39525.9731181573,117417.424129363
