date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-05-28,10,808,3,21,2,72,1.1,0.7,0,7041,560,280623,308,214,,02020,2020
2020-05-29,10,808,3,21,2,72,1.14,0.7,0,7168,571,280490,314,216,,02020,2020
2020-05-30,11,808,3,21,2,72,1.16,0.7,0,7298,583,280354,320,217,,02020,2020
2020-05-31,11,808,3,21,2,72,1.2,0.68,0,7430,595,280216,327,232,,02020,2020
2020-06-01,11,808,3,21,2,72,1.18,0.68,0,7565,607,280075,333,235,,02020,2020
2020-06-02,11,808,3,21,2,72,1.22,0.66,0,7702,619,279931,340,250,,02020,2020
2020-06-03,11,808,3,21,2,72,1.2,0.66,0,7842,631,279784,346,258,,02020,2020
2020-06-04,12,808,4,21,2,72,1.22,0.66,0,7985,643,279634,353,263,,02020,2020
2020-06-05,12,808,4,21,2,72,1.22,0.64,0,8131,656,279482,360,278,,02020,2020
2020-06-06,12,808,4,21,2,72,1.2,0.64,0,8280,669,279326,367,282,,02020,2020
2020-06-07,12,808,4,21,2,72,1.22,0.62,0,8431,682,279168,374,289,,02020,2020
2020-06-08,13,808,4,21,2,72,1.18,0.62,0,8585,695,279006,381,300,,02020,2020
2020-06-09,13,808,4,21,2,72,1.18,0.6,1,8742,709,278842,388,305,,02020,2020
